,Date,Actual Open,Fractional Change Prediction,Predictions,Actual Close
0,2021-01-04,719.4600219726562,1,1,729.77001953125
1,2021-01-05,723.6599731445312,0,0,735.1099853515625
2,2021-01-06,758.489990234375,0,0,755.97998046875
3,2021-01-07,777.6300048828125,1,1,816.0399780273438
4,2021-01-08,856.0,0,0,880.02001953125
5,2021-01-11,849.4000244140625,1,1,811.1900024414062
6,2021-01-12,831.0,1,1,849.4400024414062
7,2021-01-13,852.760009765625,1,1,854.4099731445312
8,2021-01-14,843.3900146484375,0,0,845.0
9,2021-01-15,852.0,0,0,826.1599731445312
10,2021-01-19,837.7999877929688,1,1,844.5499877929688
11,2021-01-20,858.739990234375,0,0,850.4500122070312
12,2021-01-21,855.0,1,1,844.989990234375
13,2021-01-22,834.3099975585938,1,1,846.6400146484375
14,2021-01-25,855.0,0,0,880.7999877929688
15,2021-01-26,891.3800048828125,1,1,883.0900268554688
16,2021-01-27,870.3499755859375,1,1,864.1599731445312
17,2021-01-28,820.0,1,1,835.4299926757812
18,2021-01-29,830.0,0,0,793.530029296875
19,2021-02-01,814.2899780273438,1,1,839.8099975585938
20,2021-02-02,844.6799926757812,1,1,872.7899780273438
21,2021-02-03,877.02001953125,1,1,854.6900024414062
22,2021-02-04,855.0,1,1,849.989990234375
23,2021-02-05,845.0,1,1,852.22998046875
24,2021-02-08,869.6699829101562,0,0,863.4199829101562
25,2021-02-09,855.1199951171875,1,1,849.4600219726562
26,2021-02-10,843.6400146484375,1,1,804.8200073242188
27,2021-02-11,812.4400024414062,1,1,811.6599731445312
28,2021-02-12,801.260009765625,1,1,816.1199951171875
29,2021-02-16,818.0,0,0,796.219970703125
30,2021-02-17,779.0900268554688,1,1,798.1500244140625
31,2021-02-18,780.9000244140625,1,1,787.3800048828125
32,2021-02-19,795.0,0,0,781.2999877929688
33,2021-02-22,762.6400146484375,1,1,714.5
34,2021-02-23,662.1300048828125,1,1,698.8400268554688
35,2021-02-24,711.8499755859375,0,0,742.02001953125
36,2021-02-25,726.1500244140625,0,0,682.219970703125
37,2021-02-26,700.0,0,0,675.5
38,2021-03-01,690.1099853515625,0,0,718.4299926757812
39,2021-03-02,718.280029296875,0,0,686.4400024414062
40,2021-03-03,687.989990234375,0,0,653.2000122070312
41,2021-03-04,655.7999877929688,0,0,621.4400024414062
42,2021-03-05,626.0599975585938,0,0,597.9500122070312
43,2021-03-08,600.5499877929688,0,0,563.0
44,2021-03-09,608.1799926757812,0,0,673.5800170898438
45,2021-03-10,700.2999877929688,0,0,668.0599975585938
46,2021-03-11,699.4000244140625,0,0,699.5999755859375
47,2021-03-12,670.0,0,0,693.72998046875
48,2021-03-15,694.0900268554688,0,0,707.9400024414062
49,2021-03-16,703.3499755859375,0,0,676.8800048828125
50,2021-03-17,656.8699951171875,1,1,701.8099975585938
51,2021-03-18,684.2899780273438,0,0,653.1599731445312
52,2021-03-19,646.5999755859375,1,1,654.8699951171875
53,2021-03-22,684.5900268554688,0,0,670.0
54,2021-03-23,675.77001953125,1,1,662.1599731445312
55,2021-03-24,667.9099731445312,1,1,630.27001953125
56,2021-03-25,613.0,1,1,640.3900146484375
57,2021-03-26,641.8699951171875,0,0,618.7100219726562
58,2021-03-29,615.6400146484375,0,0,611.2899780273438
59,2021-03-30,601.75,0,0,635.6199951171875
60,2021-03-31,646.6199951171875,0,0,667.9299926757812
61,2021-04-01,688.3699951171875,0,0,661.75
62,2021-04-05,707.7100219726562,0,0,691.0499877929688
63,2021-04-06,690.2999877929688,0,0,691.6199951171875
64,2021-04-07,687.0,0,0,670.969970703125
65,2021-04-08,677.3800048828125,1,1,683.7999877929688
66,2021-04-09,677.77001953125,0,0,677.02001953125
67,2021-04-12,685.7000122070312,1,1,701.97998046875
68,2021-04-13,712.7000122070312,1,1,762.3200073242188
69,2021-04-14,770.7000122070312,0,0,732.22998046875
